Assembly	Level	WGS	BioSample	Taxonomy	RUG
GCA_902789675.1	Scaffold	CADAPG000000000	SAMEA6151631	uncultured Eubacteriales bacterium	RUG13494
GCA_902789795.1	Scaffold	CADAPM000000000	SAMEA6151640	uncultured Eubacteriales bacterium	RUG13503
GCA_902789365.1	Scaffold	CADANQ000000000	SAMEA6151597	uncultured Eubacteriales bacterium	RUG13460
GCA_902789295.1	Scaffold	CADANV000000000	SAMEA6151598	uncultured Eubacteriales bacterium	RUG13461
GCA_902790345.1	Scaffold	CADARO000000000	SAMEA6151697	uncultured Eubacteriales bacterium	RUG13560
GCA_902790525.1	Scaffold	CADASI000000000	SAMEA6151711	uncultured Eubacteriales bacterium	RUG13574
GCA_902790495.1	Scaffold	CADASK000000000	SAMEA6151709	uncultured Eubacteriales bacterium	RUG13572
GCA_902790175.1	Scaffold	CADAQZ000000000	SAMEA6151681	uncultured Eubacteriales bacterium	RUG13544
GCA_902790115.1	Scaffold	CADAQS000000000	SAMEA6151676	uncultured Eubacteriales bacterium	RUG13539
GCA_902790015.1	Contig	CADAQF000000000	SAMEA6151663	uncultured Eubacteriales bacterium	RUG13526
GCA_902790965.1	Scaffold	CADAUB000000000	SAMEA6151760	uncultured Eubacteriales bacterium	RUG13623
GCA_902790905.1	Scaffold	CADATO000000000	SAMEA6151752	uncultured Eubacteriales bacterium	RUG13615
GCA_902790565.1	Scaffold	CADASO000000000	SAMEA6151727	uncultured Eubacteriales bacterium	RUG13590
GCA_902790785.1	Scaffold	CADATJ000000000	SAMEA6151747	uncultured Eubacteriales bacterium	RUG13610
GCA_902790765.1	Scaffold	CADATM000000000	SAMEA6151743	uncultured Eubacteriales bacterium	RUG13606
GCA_902790775.1	Scaffold	CADATG000000000	SAMEA6151746	uncultured Eubacteriales bacterium	RUG13609
GCA_902791415.1	Scaffold	CADAVN000000000	SAMEA6151804	uncultured Eubacteriales bacterium	RUG13667
GCA_902791305.1	Scaffold	CADAVD000000000	SAMEA6151793	uncultured Eubacteriales bacterium	RUG13656
GCA_902788795.1	Scaffold	CADALS000000000	SAMEA6151546	uncultured Eubacteriales bacterium	RUG13409
GCA_902788445.1	Scaffold	CADAKE000000000	SAMEA6151504	uncultured Eubacteriales bacterium	RUG13367
GCA_902787685.1	Contig	CADAHH000000000	SAMEA6151435	uncultured Eubacteriales bacterium	RUG13298
GCA_902787835.1	Scaffold	CADAHU000000000	SAMEA6151442	uncultured Eubacteriales bacterium	RUG13305
GCA_902787725.1	Scaffold	CADAHK000000000	SAMEA6151433	uncultured Eubacteriales bacterium	RUG13296
GCA_902787995.1	Scaffold	CADAIO000000000	SAMEA6151466	uncultured Eubacteriales bacterium	RUG13329
GCA_902788265.1	Contig	CADAJQ000000000	SAMEA6151498	uncultured Eubacteriales bacterium	RUG13361
GCA_902788245.1	Scaffold	CADAJM000000000	SAMEA6151487	uncultured Eubacteriales bacterium	RUG13350
GCA_902788085.1	Scaffold	CADAJB000000000	SAMEA6151476	uncultured Eubacteriales bacterium	RUG13339
GCA_902786355.1	Scaffold	CADABZ000000000	SAMEA6151295	uncultured Eubacteriales bacterium	RUG13158
GCA_902786465.1	Scaffold	CADACQ000000000	SAMEA6151318	uncultured Eubacteriales bacterium	RUG13181
GCA_902786815.1	Scaffold	CADADV000000000	SAMEA6151341	uncultured Eubacteriales bacterium	RUG13204
GCA_902786855.1	Scaffold	CADAEH000000000	SAMEA6151359	uncultured Eubacteriales bacterium	RUG13222
GCA_902787475.1	Scaffold	CADAGW000000000	SAMEA6151416	uncultured Eubacteriales bacterium	RUG13279
GCA_902787375.1	Scaffold	CADAGD000000000	SAMEA6151408	uncultured Eubacteriales bacterium	RUG13271
GCA_902787545.1	Scaffold	CADAGT000000000	SAMEA6151419	uncultured Eubacteriales bacterium	RUG13282
GCA_902787525.1	Contig	CADAGL000000000	SAMEA6151410	uncultured Eubacteriales bacterium	RUG13273
GCA_902792225.1	Scaffold	CADAYR000000000	SAMEA6151885	uncultured Eubacteriales bacterium	RUG13748
GCA_902792295.1	Scaffold	CADAZC000000000	SAMEA6151895	uncultured Eubacteriales bacterium	RUG13758
GCA_902793875.1	Scaffold	CADBFL000000000	SAMEA6152055	uncultured Eubacteriales bacterium	RUG13917
GCA_902793815.1	Scaffold	CADBEX000000000	SAMEA6152045	uncultured Eubacteriales bacterium	RUG13907
GCA_902793835.1	Contig	CADBEU000000000	SAMEA6152048	uncultured Eubacteriales bacterium	RUG13910
GCA_902793245.1	Scaffold	CADBCX000000000	SAMEA6151998	uncultured Eubacteriales bacterium	RUG13860
GCA_902793325.1	Scaffold	CADBCY000000000	SAMEA6151999	uncultured Eubacteriales bacterium	RUG13861
GCA_902794055.1	Scaffold	CADBGC000000000	SAMEA6152069	uncultured Eubacteriales bacterium	RUG13931
GCA_902795555.1	Contig	CADBLV000000000	SAMEA6152227	uncultured Eubacteriales bacterium	RUG14089
GCA_902795275.1	Scaffold	CADBKQ000000000	SAMEA6152190	uncultured Eubacteriales bacterium	RUG14052
GCA_902795265.1	Scaffold	CADBKM000000000	SAMEA6152195	uncultured Eubacteriales bacterium	RUG14057
GCA_902795815.1	Contig	CADBMR000000000	SAMEA6152242	uncultured Eubacteriales bacterium	RUG14104
GCA_902795155.1	Scaffold	CADBKE000000000	SAMEA6152183	uncultured Eubacteriales bacterium	RUG14045
GCA_902795135.1	Scaffold	CADBJW000000000	SAMEA6152176	uncultured Eubacteriales bacterium	RUG14038
GCA_902796635.1	Contig	CADBPU000000000	SAMEA6152333	uncultured Eubacteriales bacterium	RUG14195
GCA_902796565.1	Contig	CADBPP000000000	SAMEA6152324	uncultured Eubacteriales bacterium	RUG14186
GCA_902796025.1	Contig	CADBNW000000000	SAMEA6152268	uncultured Eubacteriales bacterium	RUG14130
GCA_902796115.1	Contig	CADBNX000000000	SAMEA6152278	uncultured Eubacteriales bacterium	RUG14140
GCA_902796285.1	Contig	CADBOH000000000	SAMEA6152287	uncultured Eubacteriales bacterium	RUG14149
GCA_902796795.1	Contig	CADBQM000000000	SAMEA6152340	uncultured Eubacteriales bacterium	RUG14202
GCA_902796875.1	Contig	CADBQT000000000	SAMEA6152356	uncultured Eubacteriales bacterium	RUG14218
GCA_902796965.1	Contig	CADBRA000000000	SAMEA6152364	uncultured Eubacteriales bacterium	RUG14226
GCA_902797095.1	Contig	CADBRP000000000	SAMEA6152376	uncultured Eubacteriales bacterium	RUG14238
GCA_902797135.1	Contig	CADBRJ000000000	SAMEA6152379	uncultured Eubacteriales bacterium	RUG14241
GCA_902797145.1	Contig	CADBRR000000000	SAMEA6152377	uncultured Eubacteriales bacterium	RUG14239
GCA_902778995.1	Scaffold	CACYZW000000000	SAMEA6150560	uncultured Eubacteriales bacterium	RUG12424
GCA_902779185.1	Scaffold	CACZAM000000000	SAMEA6150578	uncultured Eubacteriales bacterium	RUG12442
GCA_902778565.1	Scaffold	CACYYH000000000	SAMEA6150521	uncultured Eubacteriales bacterium	RUG12385
GCA_902778595.1	Contig	CACYYJ000000000	SAMEA6150517	uncultured Eubacteriales bacterium	RUG12381
GCA_902778055.1	Scaffold	CACYWL000000000	SAMEA6150467	uncultured Eubacteriales bacterium	RUG12331
GCA_902778045.1	Scaffold	CACYWI000000000	SAMEA6150474	uncultured Eubacteriales bacterium	RUG12338
GCA_902778035.1	Scaffold	CACYVW000000000	SAMEA6150463	uncultured Eubacteriales bacterium	RUG12327
GCA_902780205.1	Scaffold	CACZEP000000000	SAMEA6150682	uncultured Eubacteriales bacterium	RUG12546
GCA_902776725.1	Scaffold	CACYQX000000000	SAMEA6150332	uncultured Eubacteriales bacterium	RUG12197
GCA_902777335.1	Scaffold	CACYTF000000000	SAMEA6150394	uncultured Eubacteriales bacterium	RUG12259
GCA_902775155.1	Scaffold	CACYLA000000000	SAMEA6150177	uncultured Eubacteriales bacterium	RUG12042
GCA_902775345.1	Contig	CACYLW000000000	SAMEA6150198	uncultured Eubacteriales bacterium	RUG12063
GCA_902776285.1	Scaffold	CACYPK000000000	SAMEA6150288	uncultured Eubacteriales bacterium	RUG12153
GCA_902775835.1	Scaffold	CACYNZ000000000	SAMEA6150239	uncultured Eubacteriales bacterium	RUG12104
GCA_902782895.1	Contig	CACZPA000000000	SAMEA6150953	uncultured Eubacteriales bacterium	RUG12817
GCA_902783025.1	Contig	CACZPH000000000	SAMEA6150962	uncultured Eubacteriales bacterium	RUG12826
GCA_902782935.1	Contig	CACZOX000000000	SAMEA6150956	uncultured Eubacteriales bacterium	RUG12820
GCA_902782795.1	Contig	CACZOT000000000	SAMEA6150942	uncultured Eubacteriales bacterium	RUG12806
GCA_902782765.1	Contig	CACZOM000000000	SAMEA6150938	uncultured Eubacteriales bacterium	RUG12802
GCA_902782475.1	Contig	CACZNR000000000	SAMEA6150915	uncultured Eubacteriales bacterium	RUG12779
GCA_902781095.1	Scaffold	CACZHW000000000	SAMEA6150781	uncultured Eubacteriales bacterium	RUG12645
GCA_902780815.1	Scaffold	CACZGY000000000	SAMEA6150746	uncultured Eubacteriales bacterium	RUG12610
GCA_902780845.1	Scaffold	CACZGZ000000000	SAMEA6150750	uncultured Eubacteriales bacterium	RUG12614
GCA_902780755.1	Contig	CACZGQ000000000	SAMEA6150742	uncultured Eubacteriales bacterium	RUG12606
GCA_902781945.1	Scaffold	CACZLE000000000	SAMEA6150858	uncultured Eubacteriales bacterium	RUG12722
GCA_902785245.1	Scaffold	CACZXY000000000	SAMEA6151187	uncultured Eubacteriales bacterium	RUG13050
GCA_902785105.1	Scaffold	CACZXF000000000	SAMEA6151180	uncultured Eubacteriales bacterium	RUG13043
GCA_902786035.1	Scaffold	CADAAW000000000	SAMEA6151268	uncultured Eubacteriales bacterium	RUG13131
GCA_902784635.1	Scaffold	CACZVL000000000	SAMEA6151123	uncultured Eubacteriales bacterium	RUG12987
GCA_902784035.1	Contig	CACZTH000000000	SAMEA6151062	uncultured Eubacteriales bacterium	RUG12926
GCA_902783795.1	Contig	CACZSO000000000	SAMEA6151047	uncultured Eubacteriales bacterium	RUG12911
GCA_902783695.1	Contig	CACZSF000000000	SAMEA6151031	uncultured Eubacteriales bacterium	RUG12895
GCA_902783575.1	Contig	CACZRP000000000	SAMEA6151021	uncultured Eubacteriales bacterium	RUG12885
GCA_902783525.1	Contig	CACZRC000000000	SAMEA6151014	uncultured Eubacteriales bacterium	RUG12878
GCA_902783565.1	Contig	CACZRF000000000	SAMEA6151015	uncultured Eubacteriales bacterium	RUG12879
GCA_902751235.1	Scaffold	CADDIQ000000000	SAMEA6148158	uncultured Eubacteriales bacterium	RUG10026
GCA_902784045.1	Contig	CACZTE000000000	SAMEA6151067	uncultured Eubacterium sp.	RUG12931
GCA_902762815.1	Scaffold	CACWPT000000000	SAMEA6148934	uncultured Fusobacterium sp.	RUG10800
GCA_902766315.1	Contig	CACXDD000000000	SAMEA6149285	uncultured Lachnoclostridium sp.	RUG11151
GCA_902783445.1	Contig	CACZQX000000000	SAMEA6151007	uncultured Lachnospiraceae bacterium	RUG12871
GCA_902783455.1	Contig	CACZRH000000000	SAMEA6151016	uncultured Lachnospiraceae bacterium	RUG12880
GCA_902783475.1	Contig	CACZRM000000000	SAMEA6151008	uncultured Lachnospiraceae bacterium	RUG12872
GCA_902783585.1	Contig	CACZRT000000000	SAMEA6151020	uncultured Lachnospiraceae bacterium	RUG12884
GCA_902783735.1	Contig	CACZSE000000000	SAMEA6151032	uncultured Lachnospiraceae bacterium	RUG12896
GCA_902783605.1	Contig	CACZRU000000000	SAMEA6151027	uncultured Lachnospiraceae bacterium	RUG12891
GCA_902783765.1	Contig	CACZSB000000000	SAMEA6151030	uncultured Lachnospiraceae bacterium	RUG12894
GCA_902783665.1	Contig	CACZSG000000000	SAMEA6151039	uncultured Lachnospiraceae bacterium	RUG12903
GCA_902783725.1	Contig	CACZRV000000000	SAMEA6151033	uncultured Lachnospiraceae bacterium	RUG12897
GCA_902784025.1	Contig	CACZTF000000000	SAMEA6151066	uncultured Lachnospiraceae bacterium	RUG12930
GCA_902783965.1	Contig	CACZSY000000000	SAMEA6151058	uncultured Lachnospiraceae bacterium	RUG12922
GCA_902783945.1	Contig	CACZSZ000000000	SAMEA6151052	uncultured Lachnospiraceae bacterium	RUG12916
GCA_902783935.1	Contig	CACZTA000000000	SAMEA6151053	uncultured Lachnospiraceae bacterium	RUG12917
GCA_902783775.1	Contig	CACZSI000000000	SAMEA6151046	uncultured Lachnospiraceae bacterium	RUG12910
GCA_902784165.1	Contig	CACZTL000000000	SAMEA6151070	uncultured Lachnospiraceae bacterium	RUG12934
GCA_902785985.1	Scaffold	CADABA000000000	SAMEA6151265	uncultured Lachnospiraceae bacterium	RUG13128
GCA_902786155.1	Contig	CADABC000000000	SAMEA6151275	uncultured Lachnospiraceae bacterium	RUG13138
GCA_902785995.1	Scaffold	CADAAX000000000	SAMEA6151267	uncultured Lachnospiraceae bacterium	RUG13130
GCA_902785635.1	Scaffold	CACZZH000000000	SAMEA6151224	uncultured Lachnospiraceae bacterium	RUG13087
GCA_902785055.1	Scaffold	CACZXG000000000	SAMEA6151174	uncultured Lachnospiraceae bacterium	RUG13037
GCA_902784935.1	Scaffold	CACZWS000000000	SAMEA6151154	uncultured Lachnospiraceae bacterium	RUG13018
GCA_902781755.1	Scaffold	CACZKL000000000	SAMEA6150829	uncultured Lachnospiraceae bacterium	RUG12693
GCA_902781655.1	Scaffold	CACZJZ000000000	SAMEA6150824	uncultured Lachnospiraceae bacterium	RUG12688
GCA_902781975.1	Contig	CACZLC000000000	SAMEA6150859	uncultured Lachnospiraceae bacterium	RUG12723
GCA_902781895.1	Scaffold	CACZLA000000000	SAMEA6150855	uncultured Lachnospiraceae bacterium	RUG12719
GCA_902781275.1	Contig	CACZIU000000000	SAMEA6150791	uncultured Lachnospiraceae bacterium	RUG12655
GCA_902781455.1	Scaffold	CACZJF000000000	SAMEA6150807	uncultured Lachnospiraceae bacterium	RUG12671
GCA_902781445.1	Contig	CACZJE000000000	SAMEA6150804	uncultured Lachnospiraceae bacterium	RUG12668
GCA_902781385.1	Scaffold	CACZJC000000000	SAMEA6150797	uncultured Lachnospiraceae bacterium	RUG12661
GCA_902781505.1	Contig	CACZJL000000000	SAMEA6150812	uncultured Lachnospiraceae bacterium	RUG12676
GCA_902780925.1	Scaffold	CACZHJ000000000	SAMEA6150754	uncultured Lachnospiraceae bacterium	RUG12618
GCA_902781115.1	Scaffold	CACZIF000000000	SAMEA6150772	uncultured Lachnospiraceae bacterium	RUG12636
GCA_902780985.1	Scaffold	CACZHN000000000	SAMEA6150759	uncultured Lachnospiraceae bacterium	RUG12623
GCA_902781215.1	Scaffold	CACZIO000000000	SAMEA6150784	uncultured Lachnospiraceae bacterium	RUG12648
GCA_902781255.1	Scaffold	CACZIK000000000	SAMEA6150788	uncultured Lachnospiraceae bacterium	RUG12652
GCA_902781225.1	Scaffold	CACZIN000000000	SAMEA6150785	uncultured Lachnospiraceae bacterium	RUG12649
GCA_902782575.1	Contig	CACZNS000000000	SAMEA6150916	uncultured Lachnospiraceae bacterium	RUG12780
GCA_902782655.1	Contig	CACZNY000000000	SAMEA6150923	uncultured Lachnospiraceae bacterium	RUG12787
GCA_902782625.1	Contig	CACZNZ000000000	SAMEA6150924	uncultured Lachnospiraceae bacterium	RUG12788
GCA_902782075.1	Scaffold	CACZLX000000000	SAMEA6150873	uncultured Lachnospiraceae bacterium	RUG12737
GCA_902783015.1	Contig	CACZPL000000000	SAMEA6150967	uncultured Lachnospiraceae bacterium	RUG12831
GCA_902783095.1	Contig	CACZPX000000000	SAMEA6150979	uncultured Lachnospiraceae bacterium	RUG12843
GCA_902783105.1	Contig	CACZPP000000000	SAMEA6150981	uncultured Lachnospiraceae bacterium	RUG12845
GCA_902783305.1	Contig	CACZQU000000000	SAMEA6151001	uncultured Lachnospiraceae bacterium	RUG12865
GCA_902783375.1	Contig	CACZQN000000000	SAMEA6150990	uncultured Lachnospiraceae bacterium	RUG12854
GCA_902783395.1	Contig	CACZRA000000000	SAMEA6151004	uncultured Lachnospiraceae bacterium	RUG12868
GCA_902783385.1	Contig	CACZQP000000000	SAMEA6150997	uncultured Lachnospiraceae bacterium	RUG12861
GCA_902783325.1	Contig	CACZQS000000000	SAMEA6151000	uncultured Lachnospiraceae bacterium	RUG12864
GCA_902783205.1	Contig	CACZQE000000000	SAMEA6150983	uncultured Lachnospiraceae bacterium	RUG12847
GCA_902783275.1	Contig	CACZQO000000000	SAMEA6150998	uncultured Lachnospiraceae bacterium	RUG12862
GCA_902783295.1	Contig	CACZQT000000000	SAMEA6150993	uncultured Lachnospiraceae bacterium	RUG12857
GCA_902782775.1	Contig	CACZOK000000000	SAMEA6150932	uncultured Lachnospiraceae bacterium	RUG12796
GCA_902782695.1	Contig	CACZOE000000000	SAMEA6150941	uncultured Lachnospiraceae bacterium	RUG12805
GCA_902782715.1	Contig	CACZOG000000000	SAMEA6150933	uncultured Lachnospiraceae bacterium	RUG12797
GCA_902782815.1	Contig	CACZOS000000000	SAMEA6150947	uncultured Lachnospiraceae bacterium	RUG12811
GCA_902782965.1	Contig	CACZPG000000000	SAMEA6150955	uncultured Lachnospiraceae bacterium	RUG12819
GCA_902782995.1	Contig	CACZPJ000000000	SAMEA6150966	uncultured Lachnospiraceae bacterium	RUG12830
GCA_902782925.1	Contig	CACZOY000000000	SAMEA6150957	uncultured Lachnospiraceae bacterium	RUG12821
GCA_902782975.1	Contig	CACZPF000000000	SAMEA6150960	uncultured Lachnospiraceae bacterium	RUG12824
GCA_902775875.1	Contig	CACYNQ000000000	SAMEA6150248	uncultured Lachnospiraceae bacterium	RUG12113
GCA_902775925.1	Scaffold	CACYOA000000000	SAMEA6150257	uncultured Lachnospiraceae bacterium	RUG12122
GCA_902775895.1	Contig	CACYNO000000000	SAMEA6150241	uncultured Lachnospiraceae bacterium	RUG12106
GCA_902775485.1	Scaffold	CACYMJ000000000	SAMEA6150202	uncultured Lachnospiraceae bacterium	RUG12067
GCA_902775555.1	Scaffold	CACYMQ000000000	SAMEA6150217	uncultured Lachnospiraceae bacterium	RUG12082
GCA_902777355.1	Scaffold	CACYTU000000000	SAMEA6150398	uncultured Lachnospiraceae bacterium	RUG12263
GCA_902777075.1	Contig	CACYSL000000000	SAMEA6150374	uncultured Lachnospiraceae bacterium	RUG12239
GCA_902776355.1	Scaffold	CACYPT000000000	SAMEA6150299	uncultured Lachnospiraceae bacterium	RUG12164
GCA_902776395.1	Scaffold	CACYQC000000000	SAMEA6150302	uncultured Lachnospiraceae bacterium	RUG12167
GCA_902780385.1	Scaffold	CACZFF000000000	SAMEA6150702	uncultured Lachnospiraceae bacterium	RUG12566
GCA_902780405.1	Scaffold	CACZFI000000000	SAMEA6150700	uncultured Lachnospiraceae bacterium	RUG12564
GCA_902780465.1	Scaffold	CACZFV000000000	SAMEA6150709	uncultured Lachnospiraceae bacterium	RUG12573
GCA_902779635.1	Scaffold	CACZCF000000000	SAMEA6150626	uncultured Lachnospiraceae bacterium	RUG12490
GCA_902779625.1	Scaffold	CACZCO000000000	SAMEA6150625	uncultured Lachnospiraceae bacterium	RUG12489
GCA_902779575.1	Contig	CACZBW000000000	SAMEA6150616	uncultured Lachnospiraceae bacterium	RUG12480
GCA_902779305.1	Contig	CACZBD000000000	SAMEA6150598	uncultured Lachnospiraceae bacterium	RUG12462
GCA_902779355.1	Scaffold	CACZBF000000000	SAMEA6150597	uncultured Lachnospiraceae bacterium	RUG12461
GCA_902779345.1	Contig	CACZBE000000000	SAMEA6150594	uncultured Lachnospiraceae bacterium	RUG12458
GCA_902779445.1	Scaffold	CACZBM000000000	SAMEA6150610	uncultured Lachnospiraceae bacterium	RUG12474
GCA_902779505.1	Scaffold	CACZBZ000000000	SAMEA6150619	uncultured Lachnospiraceae bacterium	RUG12483
GCA_902779395.1	Scaffold	CACZBK000000000	SAMEA6150599	uncultured Lachnospiraceae bacterium	RUG12463
GCA_902778165.1	Scaffold	CACYWQ000000000	SAMEA6150485	uncultured Lachnospiraceae bacterium	RUG12349
GCA_902778195.1	Scaffold	CACYWR000000000	SAMEA6150478	uncultured Lachnospiraceae bacterium	RUG12342
GCA_902778245.1	Scaffold	CACYXH000000000	SAMEA6150495	uncultured Lachnospiraceae bacterium	RUG12359
GCA_902778845.1	Scaffold	CACYZQ000000000	SAMEA6150549	uncultured Lachnospiraceae bacterium	RUG12413
GCA_902797185.1	Contig	CADBRV000000000	SAMEA6152381	uncultured Lachnospiraceae bacterium	RUG14243
GCA_902797155.1	Contig	CADBRW000000000	SAMEA6152386	uncultured Lachnospiraceae bacterium	RUG14248
GCA_902797335.1	Contig	CADBSC000000000	SAMEA6152398	uncultured Lachnospiraceae bacterium	RUG14260
GCA_902797025.1	Contig	CADBRN000000000	SAMEA6152373	uncultured Lachnospiraceae bacterium	RUG14235
GCA_902797075.1	Contig	CADBRO000000000	SAMEA6152374	uncultured Lachnospiraceae bacterium	RUG14236
GCA_902797015.1	Contig	CADBRG000000000	SAMEA6152366	uncultured Lachnospiraceae bacterium	RUG14228
GCA_902796775.1	Contig	CADBQK000000000	SAMEA6152342	uncultured Lachnospiraceae bacterium	RUG14204
GCA_902796685.1	Contig	CADBPZ000000000	SAMEA6152339	uncultured Lachnospiraceae bacterium	RUG14201
GCA_902796725.1	Contig	CADBQD000000000	SAMEA6152335	uncultured Lachnospiraceae bacterium	RUG14197
GCA_902796695.1	Contig	CADBQE000000000	SAMEA6152331	uncultured Lachnospiraceae bacterium	RUG14193
GCA_902796105.1	Contig	CADBNO000000000	SAMEA6152279	uncultured Lachnospiraceae bacterium	RUG14141
GCA_902796045.1	Contig	CADBNQ000000000	SAMEA6152275	uncultured Lachnospiraceae bacterium	RUG14137
GCA_902795985.1	Contig	CADBNG000000000	SAMEA6152261	uncultured Lachnospiraceae bacterium	RUG14123
GCA_902796005.1	Contig	CADBNF000000000	SAMEA6152264	uncultured Lachnospiraceae bacterium	RUG14126
GCA_902796595.1	Contig	CADBPM000000000	SAMEA6152320	uncultured Lachnospiraceae bacterium	RUG14182
GCA_902796425.1	Contig	CADBPC000000000	SAMEA6152318	uncultured Lachnospiraceae bacterium	RUG14180
GCA_902796655.1	Contig	CADBQB000000000	SAMEA6152328	uncultured Lachnospiraceae bacterium	RUG14190
GCA_902796605.1	Contig	CADBPO000000000	SAMEA6152321	uncultured Lachnospiraceae bacterium	RUG14183
GCA_902796405.1	Contig	CADBOY000000000	SAMEA6152301	uncultured Lachnospiraceae bacterium	RUG14163
GCA_902796415.1	Contig	CADBOX000000000	SAMEA6152304	uncultured Lachnospiraceae bacterium	RUG14166
GCA_902796385.1	Contig	CADBOV000000000	SAMEA6152300	uncultured Lachnospiraceae bacterium	RUG14162
GCA_902796365.1	Contig	CADBOT000000000	SAMEA6152305	uncultured Lachnospiraceae bacterium	RUG14167
GCA_902796355.1	Contig	CADBOU000000000	SAMEA6152303	uncultured Lachnospiraceae bacterium	RUG14165
GCA_902796375.1	Contig	CADBOW000000000	SAMEA6152306	uncultured Lachnospiraceae bacterium	RUG14168
GCA_902795145.1	Scaffold	CADBJT000000000	SAMEA6152169	uncultured Lachnospiraceae bacterium	RUG14031
GCA_902794965.1	Scaffold	CADBJI000000000	SAMEA6152164	uncultured Lachnospiraceae bacterium	RUG14026
GCA_902794825.1	Scaffold	CADBIU000000000	SAMEA6152140	uncultured Lachnospiraceae bacterium	RUG14002
GCA_902795775.1	Contig	CADBMP000000000	SAMEA6152243	uncultured Lachnospiraceae bacterium	RUG14105
GCA_902795835.1	Contig	CADBNA000000000	SAMEA6152255	uncultured Lachnospiraceae bacterium	RUG14117
GCA_902795795.1	Contig	CADBMM000000000	SAMEA6152245	uncultured Lachnospiraceae bacterium	RUG14107
GCA_902795855.1	Contig	CADBMW000000000	SAMEA6152250	uncultured Lachnospiraceae bacterium	RUG14112
GCA_902795925.1	Contig	CADBMZ000000000	SAMEA6152257	uncultured Lachnospiraceae bacterium	RUG14119
GCA_902795895.1	Contig	CADBNB000000000	SAMEA6152254	uncultured Lachnospiraceae bacterium	RUG14116
GCA_902795625.1	Contig	CADBLW000000000	SAMEA6152223	uncultured Lachnospiraceae bacterium	RUG14085
GCA_902795565.1	Contig	CADBLR000000000	SAMEA6152220	uncultured Lachnospiraceae bacterium	RUG14082
GCA_902795705.1	Contig	CADBMH000000000	SAMEA6152237	uncultured Lachnospiraceae bacterium	RUG14099
GCA_902795715.1	Contig	CADBME000000000	SAMEA6152239	uncultured Lachnospiraceae bacterium	RUG14101
GCA_902795305.1	Scaffold	CADBKP000000000	SAMEA6152188	uncultured Lachnospiraceae bacterium	RUG14050
GCA_902795425.1	Scaffold	CADBLD000000000	SAMEA6152205	uncultured Lachnospiraceae bacterium	RUG14067
GCA_902795455.1	Scaffold	CADBLO000000000	SAMEA6152214	uncultured Lachnospiraceae bacterium	RUG14076
GCA_902794095.1	Scaffold	CADBFZ000000000	SAMEA6152073	uncultured Lachnospiraceae bacterium	RUG13935
GCA_902793995.1	Scaffold	CADBFP000000000	SAMEA6152066	uncultured Lachnospiraceae bacterium	RUG13928
GCA_902793845.1	Scaffold	CADBFE000000000	SAMEA6152050	uncultured Lachnospiraceae bacterium	RUG13912
GCA_902793335.1	Scaffold	CADBCZ000000000	SAMEA6151994	uncultured Lachnospiraceae bacterium	RUG13856
GCA_902793165.1	Scaffold	CADBCP000000000	SAMEA6151982	uncultured Lachnospiraceae bacterium	RUG13844
GCA_902793895.1	Scaffold	CADBFB000000000	SAMEA6152049	uncultured Lachnospiraceae bacterium	RUG13911
GCA_902793685.1	Scaffold	CADBEN000000000	SAMEA6152038	uncultured Lachnospiraceae bacterium	RUG13900
GCA_902792315.1	Contig	CADAYY000000000	SAMEA6151889	uncultured Lachnospiraceae bacterium	RUG13752
GCA_902792005.1	Scaffold	CADAXW000000000	SAMEA6151867	uncultured Lachnospiraceae bacterium	RUG13730
GCA_902792075.1	Scaffold	CADAYN000000000	SAMEA6151873	uncultured Lachnospiraceae bacterium	RUG13736
GCA_902793045.1	Scaffold	CADBBS000000000	SAMEA6151962	uncultured Lachnospiraceae bacterium	RUG13824
GCA_902787595.1	Scaffold	CADAHD000000000	SAMEA6151423	uncultured Lachnospiraceae bacterium	RUG13286
GCA_902786515.1	Scaffold	CADADA000000000	SAMEA6151311	uncultured Lachnospiraceae bacterium	RUG13174
GCA_902786365.1	Scaffold	CADACD000000000	SAMEA6151291	uncultured Lachnospiraceae bacterium	RUG13154
GCA_902786205.1	Scaffold	CADABQ000000000	SAMEA6151285	uncultured Lachnospiraceae bacterium	RUG13148
GCA_902786215.1	Scaffold	CADABR000000000	SAMEA6151286	uncultured Lachnospiraceae bacterium	RUG13149
GCA_902788215.1	Scaffold	CADAJL000000000	SAMEA6151485	uncultured Lachnospiraceae bacterium	RUG13348
GCA_902788285.1	Scaffold	CADAJU000000000	SAMEA6151497	uncultured Lachnospiraceae bacterium	RUG13360
GCA_902788395.1	Scaffold	CADAKA000000000	SAMEA6151505	uncultured Lachnospiraceae bacterium	RUG13368
GCA_902788035.1	Scaffold	CADAIL000000000	SAMEA6151465	uncultured Lachnospiraceae bacterium	RUG13328
GCA_902787905.1	Scaffold	CADAIF000000000	SAMEA6151450	uncultured Lachnospiraceae bacterium	RUG13313
GCA_902787715.1	Scaffold	CADAHQ000000000	SAMEA6151432	uncultured Lachnospiraceae bacterium	RUG13295
GCA_902788525.1	Scaffold	CADAKO000000000	SAMEA6151515	uncultured Lachnospiraceae bacterium	RUG13378
GCA_902788555.1	Scaffold	CADAKQ000000000	SAMEA6151517	uncultured Lachnospiraceae bacterium	RUG13380
GCA_902788645.1	Scaffold	CADAKW000000000	SAMEA6151521	uncultured Lachnospiraceae bacterium	RUG13384
